,commune,spot,full_name,url,date,hour,water_quality,conditions,level,hauteur,note,long,lat
193,gavres,gavres,gavres gavres,https://www.surf-sentinel.com/surf-report/france/morbihan/gavres/gavres,2023-08-13,9,C,moyennes,3,1.7,5,47.6966414,-3.3529371
192,gavres,gavres,gavres gavres,https://www.surf-sentinel.com/surf-report/france/morbihan/gavres/gavres,2023-08-13,6,C,moyennes,3,1.7,5,47.6966414,-3.3529371
522,plouhinec,barre-detel,plouhinec barre-detel,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/barre-detel,2023-08-12,6,C,moyennes,3,1.9,5,47.64286,-3.21616
523,plouhinec,barre-detel,plouhinec barre-detel,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/barre-detel,2023-08-12,9,C,moyennes,3,1.9,5,47.64286,-3.21616
576,bangor,donnant,bangor donnant,https://www.surf-sentinel.com/surf-report/france/morbihan/bangor/donnant,2023-08-14,6,C,moyennes,3,1.4,5,47.3196443,-3.2298395
360,guidel,la-falaise,guidel la-falaise,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/la-falaise,2023-08-13,6,C,moyennes,3,1.7,5,47.76222,-3.52245
61,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-12,9,C,moyennes,3,1.9,5,47.4783483,-3.1266243
232,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-12,18,C,moyennes,3,1.9,5,47.7058556,-3.3855627
234,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-13,6,C,moyennes,3,1.7,5,47.7058556,-3.3855627
817,erdeven,kerhilio,erdeven kerhilio,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/kerhilio,2023-08-12,9,C,moyennes,3,1.9,5,47.618522,-3.16564
859,plouharnel,la-guerite-tata-beach,plouharnel la-guerite-tata-beach,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/la-guerite-tata-beach,2023-08-12,9,C,moyennes,3,1.9,5,47.5936091,-3.1452297
60,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-12,6,C,moyennes,3,1.9,5,47.4783483,-3.1266243
816,erdeven,kerhilio,erdeven kerhilio,https://www.surf-sentinel.com/surf-report/france/morbihan/erdeven/kerhilio,2023-08-12,6,C,moyennes,3,1.9,5,47.618522,-3.16564
649,saint-pierre-quiberon,port-blanc,saint-pierre-quiberon port-blanc,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-blanc,2023-08-12,9,C,moyennes,3,1.9,5,47.5205555,-3.1542716
276,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-13,6,C,moyennes,3,1.7,5,47.70566,-3.40123
144,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-12,6,C,moyennes,3,1.9,5,47.664549,-3.2256925
